 frequency       v(Aol_dB)       v(Aol_arg)     
 2.17086923e+03  3.13288131e+01  1.79956855e+02 
 2.22092889e+03  3.13288130e+01  1.79955860e+02 
 2.27214291e+03  3.13288128e+01  1.79954842e+02 
 2.32453791e+03  3.13288127e+01  1.79953801e+02 
 2.37814113e+03  3.13288126e+01  1.79952735e+02 
 2.43298042e+03  3.13288124e+01  1.79951646e+02 
 2.48908429e+03  3.13288123e+01  1.79950530e+02 
 2.54648190e+03  3.13288122e+01  1.79949390e+02 
 2.60520309e+03  3.13288120e+01  1.79948223e+02 
 2.66527837e+03  3.13288118e+01  1.79947029e+02 
 2.72673897e+03  3.13288117e+01  1.79945807e+02 
 2.78961683e+03  3.13288115e+01  1.79944558e+02 
 2.85394464e+03  3.13288113e+01  1.79943279e+02 
 2.91975583e+03  3.13288111e+01  1.79941971e+02 
 2.98708461e+03  3.13288109e+01  1.79940633e+02 
 3.05596598e+03  3.13288107e+01  1.79939264e+02 
 3.12643573e+03  3.13288104e+01  1.79937863e+02 
 3.19853049e+03  3.13288102e+01  1.79936431e+02 
 3.27228774e+03  3.13288099e+01  1.79934965e+02 
 3.34774581e+03  3.13288097e+01  1.79933465e+02 
 3.42494392e+03  3.13288094e+01  1.79931931e+02 
 3.50392221e+03  3.13288091e+01  1.79930361e+02 
 3.58472171e+03  3.13288088e+01  1.79928755e+02 
 3.66738442e+03  3.13288085e+01  1.79927112e+02 
 3.75195331e+03  3.13288082e+01  1.79925432e+02 
 3.83847234e+03  3.13288079e+01  1.79923712e+02 
 3.92698648e+03  3.13288075e+01  1.79921953e+02 
 4.01754173e+03  3.13288071e+01  1.79920153e+02 
 4.11018515e+03  3.13288067e+01  1.79918312e+02 
 4.20496491e+03  3.13288063e+01  1.79916428e+02 
 4.30193027e+03  3.13288059e+01  1.79914501e+02 
 4.40113162e+03  3.13288054e+01  1.79912529e+02 
 4.50262052e+03  3.13288050e+01  1.79910512e+02 
 4.60644974e+03  3.13288045e+01  1.79908449e+02 
 4.71267322e+03  3.13288040e+01  1.79906338e+02 
 4.82134619e+03  3.13288034e+01  1.79904178e+02 
 4.93252513e+03  3.13288028e+01  1.79901968e+02 
 5.04626783e+03  3.13288023e+01  1.79899708e+02 
 5.16263340e+03  3.13288016e+01  1.79897395e+02 
 5.28168234e+03  3.13288010e+01  1.79895029e+02 
 5.40347650e+03  3.13288003e+01  1.79892608e+02 
