 time            v(vin)          v(vout)        
 3.10842256e-04  7.59278153e-01  3.44984509e-01 
 3.11842256e-04  7.59254532e-01  3.45214078e-01 
 3.12842256e-04  7.59230545e-01  3.45447833e-01 
 3.13842256e-04  7.59206193e-01  3.45685798e-01 
 3.14842256e-04  7.59181478e-01  3.45927998e-01 
 3.15842256e-04  7.59156401e-01  3.46174456e-01 
 3.16842256e-04  7.59130962e-01  3.46425199e-01 
 3.17842256e-04  7.59105162e-01  3.46680250e-01 
 3.18842256e-04  7.59079003e-01  3.46939638e-01 
 3.19842256e-04  7.59052486e-01  3.47203389e-01 
 3.20842256e-04  7.59025611e-01  3.47471529e-01 
 3.21842256e-04  7.58998381e-01  3.47744088e-01 
 3.22842256e-04  7.58970794e-01  3.48021095e-01 
 3.23842256e-04  7.58942854e-01  3.48302577e-01 
 3.24842256e-04  7.58914561e-01  3.48588566e-01 
 3.25842256e-04  7.58885915e-01  3.48879092e-01 
 3.26842256e-04  7.58856919e-01  3.49174186e-01 
 3.27842256e-04  7.58827573e-01  3.49473880e-01 
 3.28842256e-04  7.58797879e-01  3.49778208e-01 
 3.29842256e-04  7.58767837e-01  3.50087202e-01 
 3.30842256e-04  7.58737450e-01  3.50400896e-01 
 3.31842256e-04  7.58706717e-01  3.50719326e-01 
 3.32842256e-04  7.58675640e-01  3.51042527e-01 
 3.33842256e-04  7.58644222e-01  3.51370535e-01 
 3.34842256e-04  7.58612461e-01  3.51703387e-01 
 3.35842256e-04  7.58580361e-01  3.52041122e-01 
 3.36842256e-04  7.58547922e-01  3.52383777e-01 
 3.37842256e-04  7.58515146e-01  3.52731394e-01 
 3.37967256e-04  7.58511025e-01  3.52775201e-01 
 3.38217256e-04  7.58502768e-01  3.52863037e-01 
 3.38717256e-04  7.58486191e-01  3.53039658e-01 
 3.39717256e-04  7.58452785e-01  3.53396685e-01 
 3.40717256e-04  7.58419046e-01  3.53758790e-01 
 3.41717256e-04  7.58384974e-01  3.54126017e-01 
 3.42717256e-04  7.58350571e-01  3.54498410e-01 
 3.43717256e-04  7.58315839e-01  3.54876012e-01 
 3.44717256e-04  7.58280778e-01  3.55258870e-01 
 3.45717256e-04  7.58245391e-01  3.55647030e-01 
 3.46717256e-04  7.58209678e-01  3.56040540e-01 
 3.47717256e-04  7.58173640e-01  3.56439447e-01 
 3.48717256e-04  7.58137281e-01  3.56843802e-01 
 3.49717256e-04  7.58100599e-01  3.57253655e-01 
 3.50717256e-04  7.58063598e-01  3.57669058e-01 
 3.51717256e-04  7.58026279e-01  3.58090063e-01 
 3.52717256e-04  7.57988643e-01  3.58516723e-01 
 3.53717256e-04  7.57950692e-01  3.58949094e-01 
 3.54717256e-04  7.57912426e-01  3.59387231e-01 
 3.55717256e-04  7.57873848e-01  3.59831192e-01 
 3.56717256e-04  7.57834960e-01  3.60281035e-01 
 3.57717256e-04  7.57795762e-01  3.60736818e-01 
 3.58717256e-04  7.57756256e-01  3.61198603e-01 
 3.59717256e-04  7.57716444e-01  3.61666452e-01 
 3.60717256e-04  7.57676328e-01  3.62140427e-01 
 3.61717256e-04  7.57635908e-01  3.62620593e-01 
 3.62717256e-04  7.57595187e-01  3.63107016e-01 
 3.63717256e-04  7.57554166e-01  3.63599762e-01 
 3.64717256e-04  7.57512847e-01  3.64098899e-01 
 3.65717256e-04  7.57471232e-01  3.64604499e-01 
 3.66717256e-04  7.57429321e-01  3.65116630e-01 
 3.67717256e-04  7.57387117e-01  3.65635367e-01 
 3.68717256e-04  7.57344621e-01  3.66160783e-01 
 3.68842256e-04  7.57339289e-01  3.66226941e-01 
 3.69092256e-04  7.57328611e-01  3.66359553e-01 
 3.69592256e-04  7.57307200e-01  3.66626060e-01 
 3.70592256e-04  7.57264162e-01  3.67164204e-01 
 3.71592256e-04  7.57220838e-01  3.67709248e-01 
 3.72592256e-04  7.57177228e-01  3.68261271e-01 
 3.73592256e-04  7.57133335e-01  3.68820355e-01 
 3.74592256e-04  7.57089160e-01  3.69386584e-01 
 3.75592256e-04  7.57044706e-01  3.69960040e-01 
 3.76592256e-04  7.56999973e-01  3.70540812e-01 
 3.77592256e-04  7.56954964e-01  3.71128986e-01 
 3.78592256e-04  7.56909681e-01  3.71724652e-01 
 3.79592256e-04  7.56864124e-01  3.72327901e-01 
 3.80592256e-04  7.56818297e-01  3.72938827e-01 
 3.81592256e-04  7.56772200e-01  3.73557524e-01 
 3.82592256e-04  7.56725837e-01  3.74184089e-01 
 3.83592256e-04  7.56679207e-01  3.74818619e-01 
 3.84592256e-04  7.56632314e-01  3.75461215e-01 
 3.85592256e-04  7.56585159e-01  3.76111980e-01 
 3.86592256e-04  7.56537745e-01  3.76771017e-01 
 3.87592256e-04  7.56490072e-01  3.77438431e-01 
 3.88592256e-04  7.56442142e-01  3.78114331e-01 
 3.89592256e-04  7.56393959e-01  3.78798826e-01 
 3.90592256e-04  7.56345523e-01  3.79492027e-01 
 3.91592256e-04  7.56296837e-01  3.80194048e-01 
 3.92592256e-04  7.56247902e-01  3.80905005e-01 
 3.93592256e-04  7.56198720e-01  3.81625015e-01 
 3.94592256e-04  7.56149294e-01  3.82354197e-01 
 3.95592256e-04  7.56099624e-01  3.83092672e-01 
 3.96592256e-04  7.56049715e-01  3.83840564e-01 
 3.97592256e-04  7.55999566e-01  3.84597999e-01 
 3.98592256e-04  7.55949180e-01  3.85365104e-01 
 3.99592256e-04  7.55898560e-01  3.86142008e-01 
 4.00592256e-04  7.55847706e-01  3.86928842e-01 
 4.01592256e-04  7.55796622e-01  3.87725741e-01 
 4.02592256e-04  7.55745309e-01  3.88532838e-01 
 4.03592256e-04  7.55693769e-01  3.89350272e-01 
 4.04592256e-04  7.55642005e-01  3.90178182e-01 
 4.05592256e-04  7.55590017e-01  3.91016709e-01 
 4.06592256e-04  7.55537809e-01  3.91865995e-01 
 4.07592256e-04  7.55485382e-01  3.92726187e-01 
 4.08592256e-04  7.55432739e-01  3.93597430e-01 
 4.09592256e-04  7.55379881e-01  3.94479873e-01 
 4.10592256e-04  7.55326811e-01  3.95373666e-01 
 4.11592256e-04  7.55273531e-01  3.96278962e-01 
 4.12592256e-04  7.55220042e-01  3.97195913e-01 
 4.13592256e-04  7.55166348e-01  3.98124675e-01 
 4.14592256e-04  7.55112449e-01  3.99065404e-01 
 4.15592256e-04  7.55058349e-01  4.00018259e-01 
 4.16592256e-04  7.55004048e-01  4.00983398e-01 
 4.17592256e-04  7.54949551e-01  4.01960983e-01 
 4.18592256e-04  7.54894858e-01  4.02951174e-01 
 4.19592256e-04  7.54839971e-01  4.03954136e-01 
 4.20592256e-04  7.54784894e-01  4.04970031e-01 
 4.21592256e-04  7.54729628e-01  4.05999023e-01 
 4.22592256e-04  7.54674175e-01  4.07041279e-01 
 4.23592256e-04  7.54618537e-01  4.08096963e-01 
 4.24592256e-04  7.54562717e-01  4.09166242e-01 
 4.25592256e-04  7.54506717e-01  4.10249283e-01 
 4.26592256e-04  7.54450539e-01  4.11346251e-01 
